record_id,evidence_class,model_or_experiment,task_or_scope,representation,evaluation_design,sample_count,r2,rmse,mae,bias,spearman,delta_rmse_vs_reference,status,interpretation,claim_limit,provenance_asset
ME001,frozen_final_model_outer_test,D06,sigma_780,graph + 11 dense descriptors,scaffold-disjoint outer test,20917,0.7869112055728029,0.482478281173636,0.2307347554495554,,0.903589802314278,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME002,frozen_final_model_outer_test,D06,sigma_max,graph + 11 dense descriptors,scaffold-disjoint outer test,20917,0.7888792287967201,0.480220360475908,0.21670010669103,,0.907076532016386,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME003,frozen_final_model_outer_test,D06,toxicity,graph + 11 dense descriptors,scaffold-disjoint outer test,20917,0.865089265461061,0.431653231984937,0.2839866532557412,,0.9518887791613184,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME004,frozen_final_model_outer_test,D06,solubility,graph + 11 dense descriptors,scaffold-disjoint outer test,14032,0.937304730236324,0.2692313793611135,0.1191985541475599,,0.9920683336099848,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME005,frozen_final_model_outer_test,D06,synthetic_accessibility,graph + 11 dense descriptors,scaffold-disjoint outer test,20917,0.8437412641332138,0.3348343129388474,0.1537311037582605,,0.9518767459137942,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME006,frozen_final_model_outer_test,D06,isc_energy,graph + 11 dense descriptors,scaffold-disjoint outer test,14293,0.8270743823977049,0.416623875378668,0.2730148561817347,,0.9164798866976176,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME007,frozen_final_model_outer_test,F06,sigma_780,graph + 11 dense + 11 PI-family descriptors,scaffold-disjoint outer test,20917,0.7846706766764161,0.4850081650321523,0.2296108809851611,,0.9056568891097369,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME008,frozen_final_model_outer_test,F06,sigma_max,graph + 11 dense + 11 PI-family descriptors,scaffold-disjoint outer test,20917,0.7881412631460536,0.4810589254891773,0.2160925242021241,,0.9070354646967508,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME009,frozen_final_model_outer_test,F06,toxicity,graph + 11 dense + 11 PI-family descriptors,scaffold-disjoint outer test,20917,0.8684720342084715,0.4262072129701763,0.2798438086858021,,0.95168372701479,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME010,frozen_final_model_outer_test,F06,solubility,graph + 11 dense + 11 PI-family descriptors,scaffold-disjoint outer test,14032,0.9295063457113124,0.2854850041468551,0.1227812322095124,,0.992663146691745,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME011,frozen_final_model_outer_test,F06,synthetic_accessibility,graph + 11 dense + 11 PI-family descriptors,scaffold-disjoint outer test,20917,0.8452777862963018,0.3331840009013629,0.1543789613224264,,0.9515978868883208,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME012,frozen_final_model_outer_test,F06,isc_energy,graph + 11 dense + 11 PI-family descriptors,scaffold-disjoint outer test,14293,0.8307635336553414,0.4121558429076991,0.2679868049923897,,0.9196285731243422,,completed_and_frozen,Task-level predictive evidence; D06 is primary and F06 is family-sensitive diagnostic.,Metrics do not establish experimental photoinitiator efficacy.,final model audit summary
ME013,strict_clean_retrain_outer_test,D06_strict_clean,sigma_780,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20912,0.7892720580214384,0.4798096052300455,0.2297151253639731,-0.0417192850263468,,-0.0026686759435904928,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME014,strict_clean_retrain_outer_test,D06_strict_clean,sigma_max,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20912,0.7926215572420616,0.4759656804388938,0.2151584061482988,-0.0428851087440777,,-0.00425468003701418,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME015,strict_clean_retrain_outer_test,D06_strict_clean,toxicity,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20917,0.8591867199448994,0.4409948838108649,0.2900694369365708,-0.037531831040732,,0.009341651825927888,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME016,strict_clean_retrain_outer_test,D06_strict_clean,solubility,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,13912,0.9664044047790586,0.1936755423791132,0.105608629937624,0.024248341643863,,-0.07555583698200033,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME017,strict_clean_retrain_outer_test,D06_strict_clean,synthetic_accessibility,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20917,0.8415586119800933,0.3371647183955098,0.1549503502021549,0.051024292037751,,0.00233040545666241,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME018,strict_clean_retrain_outer_test,D06_strict_clean,isc_energy,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,14293,0.8305540773098004,0.4124108173932296,0.2701358313886891,0.0332120374562758,,-0.0042130579854383066,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME019,strict_clean_retrain_outer_test,D06_strict_clean,macro_avg,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20917,0.8465995715462253,0.3900035412746095,0.2109396299962184,-0.0022752589455444,,-0.012503365610908812,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME020,strict_clean_retrain_outer_test,F06_strict_clean,sigma_780,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20912,0.785336330048423,0.4842695361984371,0.23022908169819,-0.0351135446151817,,-0.0007386288337152269,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME021,strict_clean_retrain_outer_test,F06_strict_clean,sigma_max,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20912,0.7903094472394768,0.4786116512233601,0.2155426150728981,-0.0346957010121692,,-0.002447274265817201,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
